zona,c_auto,c_pub,c_act,esc_w,nocu,cens_auto,escol,sim_auto,lat
1,159,459,41,0.0,1218,24.12746585735964,0.0,34.91559418351997,-23.58541
10,771,1133,158,0.0,3595,37.390882638215324,0.0,36.64469742360695,-23.57065
101,662,1598,147,0.0,4422,27.503115911923555,0.0,35.36884130296706,-23.63187
102,350,1377,172,0.0,2827,18.43075302790943,0.0,30.26641432522929,-23.65004
103,400,1275,216,0.0,2963,21.152829190904285,0.0,30.259785244198127,-23.65443
104,227,358,294,0.0,1357,25.82480091012514,0.0,38.76262626262626,-23.64344
105,1021,3084,494,22341.0,8818,22.200478364861926,2.533567702426854,32.92485132456299,-23.57164
11,200,543,49,0.0,1285,25.252525252525253,0.0,34.911525585844096,-23.57059
12,828,1879,334,0.0,5190,27.227885563959227,0.0,40.685805422647526,-23.55306
15,192,493,114,0.0,1578,24.030037546933666,0.0,37.099473935915825,-23.59445
16,239,625,73,0.0,1940,25.50693703308431,0.0,31.28530373600238,-23.59526
17,482,1458,185,12298.0,3997,22.68235294117647,3.0768076057042784,31.292710706150338,-23.59924
18,219,580,203,0.0,1823,21.856287425149702,0.0,37.23217058275541,-23.59875
19,356,1202,154,37642.0,3422,20.794392523364486,11.0,31.423637564122096,-23.6059
2,535,1578,196,0.0,3924,23.170203551320917,0.0,33.078326071537134,-23.58304
20,149,316,87,0.0,1286,26.992753623188403,0.0,37.565244089653056,-23.60241
21,210,551,68,0.0,1523,25.331724969843183,0.0,30.696162979627545,-23.60723
22,161,418,65,0.0,1254,25.0,0.0,37.27555015525854,-23.60759
24,740,1059,138,0.0,3675,38.20340733092411,0.0,53.28140214216164,-23.59576
25,198,498,69,0.0,1455,25.882352941176475,0.0,42.52343401279571,-23.60204
26,279,897,108,0.0,2786,21.72897196261682,0.0,37.3508353221957,-23.61448
27,135,267,66,0.0,784,28.846153846153843,0.0,36.82252922422954,-23.61203
29,447,746,306,0.0,2674,29.81987991994663,0.0,43.46147094962261,-23.6221
3,256,481,64,0.0,2047,31.960049937578027,0.0,36.28439917735775,-23.58277
30,206,408,75,0.0,1204,29.898403483309146,0.0,42.445365486058776,-23.6345
31,359,809,306,0.0,2438,24.35549525101764,0.0,41.16094986807388,-23.64095
32,274,445,312,0.0,1520,26.576139670223085,0.0,39.625270981728086,-23.64791
34,127,664,48,0.0,1612,15.137067938021453,0.0,32.3456204812137,-23.61512
35,146,470,51,0.0,1944,21.88905547226387,0.0,32.01177625122669,-23.62119
36,234,593,121,0.0,2148,24.68354430379747,0.0,37.63188745603752,-23.61822
37,312,578,135,0.0,1848,30.4390243902439,0.0,37.21269200583025,-23.62206
38,413,701,159,0.0,2580,32.44304791830322,0.0,38.026852481305234,-23.62598
39,411,1322,149,0.0,4390,21.838469713071202,0.0,37.87592292454529,-23.62567
4,202,332,30,0.0,1162,35.815602836879435,0.0,36.800600826135934,-23.57743
41,446,818,123,0.0,2434,32.15573179524153,0.0,38.24335071131925,-23.63152
43,309,691,103,0.0,1788,28.014505893019038,0.0,31.270505713315988,-23.63737
45,286,896,94,0.0,1803,22.413793103448278,0.0,30.648769574944073,-23.64637
5,306,410,84,0.0,1667,38.25,0.0,41.6294508147254,-23.58853
50,201,331,396,0.0,1732,21.65948275862069,0.0,46.53422895526654,-23.65099
51,256,522,652,0.0,2424,17.902097902097903,0.0,46.480858909012035,-23.65166
53,301,519,388,0.0,2319,24.917218543046356,0.0,39.472624798711756,-23.65462
54,407,873,203,0.0,2572,27.44436952124073,0.0,30.19239867528781,-23.66212
55,452,1516,170,0.0,4243,21.141253507951358,0.0,31.60234581914491,-23.66462
56,330,461,179,0.0,1892,34.02061855670103,0.0,40.925600468658466,-23.66246
57,416,365,236,0.0,2066,40.90462143559488,0.0,51.621319418561306,-23.66311
58,292,288,147,0.0,1552,40.16506189821183,0.0,52.755086885489376,-23.66785
60,263,275,87,0.0,1175,42.08,0.0,52.78157329689635,-23.67562
61,278,434,118,0.0,1438,33.49397590361446,0.0,40.74858757062147,-23.67563
63,590,446,41,0.0,1964,54.78180129990715,0.0,50.253583241455345,-23.68553
66,1121,563,116,57920.0,3620,62.27777777777778,16.0,53.04306480097812,-23.69075
67,836,552,41,0.0,2245,58.502449265220434,0.0,53.069263595579386,-23.70165
69,949,160,21,32016.0,2001,83.98230088495575,16.0,50.8172531214529,-23.71575
7,206,580,62,0.0,1539,24.29245283018868,0.0,33.18097591105621,-23.59093
75,2115,1396,190,0.0,6282,57.14671710348554,0.0,53.04587615943846,-23.56744
76,1380,1594,205,0.0,6580,43.40987731991192,0.0,51.881957943099486,-23.55561
77,1542,1501,197,0.0,6084,47.592592592592595,0.0,38.110798122065724,-23.52135
78,152,12,248,0.0,711,36.89320388349515,0.0,26.85755708590069,-23.49142
80,497,364,37,0.0,1615,55.345211581291764,0.0,40.97130823901027,-23.6961
81,628,449,93,0.0,2532,53.675213675213676,0.0,42.39571797711333,-23.67626
82,567,664,43,0.0,2393,44.505494505494504,0.0,52.04618937644342,-23.6867
83,321,546,178,0.0,2062,30.7177033492823,0.0,42.2233875196644,-23.67025
84,756,1934,299,0.0,4960,25.292740046838407,0.0,32.786620344186794,-23.58009
85,486,699,235,0.0,2231,34.225352112676056,0.0,43.664510656346096,-23.63328
89,99,135,40,0.0,746,36.13138686131387,0.0,51.37042062415197,-23.6829
90,719,264,25,0.0,1611,71.32936507936508,0.0,50.43887147335423,-23.72833
92,440,1066,175,14784.0,2854,26.174895895300416,5.1800981079187105,32.86908077994429,-23.58995
94,1042,973,137,0.0,4187,48.42007434944237,0.0,36.04475191871149,-23.56179
96,742,3324,253,42999.0,6935,17.179902755267424,6.200288392213411,34.838427947598255,-23.57842
97,497,274,245,0.0,2161,48.917322834645674,0.0,51.50282485875706,-23.6615
98,302,291,295,0.0,1356,34.00900900900901,0.0,49.12731006160164,-23.65671
