zona,n_edad_0_5,n_edad_6_13,n_edad_14_17,n_edad_18_24,n_edad_25_44,n_edad_45_59,n_edad_60_mas
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,685.0,1123.0,610.0,1095.0,2906.0,1485.0,1035.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,78.0,169.0,110.0,176.0,466.0,350.0,365.0
21,197.0,371.0,230.0,412.0,1074.0,720.0,624.0
22,149.0,357.0,199.0,329.0,898.0,687.0,760.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,271.0,488.0,237.0,469.0,1674.0,611.0,329.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,257.0,446.0,261.0,464.0,1601.0,1006.0,1095.0
43,208.0,385.0,256.0,404.0,1248.0,740.0,768.0
26,450.0,794.0,396.0,726.0,2097.0,1160.0,829.0
38,278.0,446.0,243.0,593.0,1948.0,821.0,972.0
37,207.0,361.0,216.0,432.0,1146.0,864.0,825.0
61,102.0,214.0,132.0,342.0,975.0,526.0,936.0
60,81.0,184.0,96.0,184.0,739.0,449.0,585.0
45,238.0,400.0,236.0,470.0,1251.0,764.0,695.0
63,164.0,409.0,216.0,385.0,1255.0,809.0,867.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,230.0,413.0,244.0,486.0,1656.0,972.0,949.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,211.0,311.0,148.0,423.0,1762.0,681.0,554.0
50,147.0,255.0,123.0,277.0,1213.0,546.0,570.0
53,187.0,373.0,228.0,393.0,1570.0,829.0,886.0
34,323.0,511.0,228.0,416.0,1379.0,580.0,382.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,317.0,537.0,276.0,506.0,1413.0,820.0,775.0
36,284.0,495.0,261.0,499.0,1494.0,919.0,1108.0
39,634.0,1102.0,619.0,1050.0,3138.0,1748.0,1820.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,234.0,413.0,250.0,470.0,1311.0,903.0,795.0
2,549.0,1068.0,556.0,987.0,2792.0,1387.0,1668.0
7,234.0,424.0,246.0,384.0,1060.0,631.0,728.0
20,179.0,332.0,130.0,302.0,992.0,514.0,499.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,210.0,358.0,183.0,397.0,1074.0,830.0,747.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,485.0,944.0,513.0,756.0,2749.0,1349.0,685.0
5,216.0,354.0,227.0,327.0,1191.0,689.0,760.0
24,450.0,771.0,365.0,587.0,2787.0,1180.0,737.0
25,166.0,322.0,182.0,325.0,949.0,586.0,512.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,726.0,1203.0,629.0,1083.0,3148.0,1623.0,1147.0
16,306.0,487.0,291.0,535.0,1426.0,816.0,725.0
4,115.0,239.0,163.0,281.0,759.0,521.0,312.0
76,792.0,1585.0,809.0,1321.0,4794.0,2329.0,1002.0
75,653.0,1404.0,840.0,1258.0,4154.0,2806.0,1378.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,135.0,151.0,43.0,193.0,614.0,85.0,10.0
77,1080.0,1720.0,759.0,1036.0,4866.0,1907.0,564.0
55,720.0,1219.0,623.0,1067.0,3204.0,1675.0,1062.0
103,554.0,806.0,413.0,761.0,2166.0,1051.0,820.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,452.0,720.0,382.0,712.0,2068.0,1055.0,840.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,141.0,233.0,140.0,307.0,968.0,568.0,553.0
85,227.0,384.0,175.0,421.0,1581.0,745.0,697.0
30,120.0,199.0,89.0,211.0,841.0,391.0,552.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,608.0,1076.0,577.0,1119.0,3086.0,1839.0,1704.0
83,196.0,358.0,214.0,404.0,1424.0,791.0,923.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,113.0,240.0,126.0,256.0,1065.0,594.0,626.0
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,193.0,346.0,180.0,277.0,1436.0,802.0,734.0
57,155.0,292.0,165.0,256.0,1403.0,700.0,615.0
98,116.0,253.0,130.0,207.0,843.0,522.0,572.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,242.0,419.0,245.0,503.0,1778.0,865.0,809.0
82,279.0,485.0,241.0,581.0,1725.0,859.0,697.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,145.0,285.0,156.0,318.0,977.0,722.0,853.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,115.0,180.0,92.0,249.0,940.0,416.0,496.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,172.0,348.0,189.0,273.0,875.0,393.0,480.0
96,1265.0,2132.0,1111.0,1874.0,5234.0,2600.0,1339.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,173.0,344.0,165.0,204.0,1067.0,611.0,280.0
69,234.0,530.0,252.0,275.0,1059.0,1004.0,644.0
12,982.0,1919.0,895.0,1211.0,4326.0,1431.0,564.0
94,482.0,1113.0,605.0,848.0,3007.0,1589.0,621.0
105,1434.0,2600.0,1419.0,2329.0,6262.0,3609.0,2508.0
11,214.0,383.0,218.0,363.0,893.0,509.0,264.0
3,239.0,428.0,285.0,482.0,1449.0,868.0,875.0
84,648.0,1349.0,731.0,1303.0,3545.0,1938.0,1708.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,342.0,659.0,364.0,623.0,1978.0,1104.0,1299.0
66,547.0,790.0,325.0,400.0,2935.0,1051.0,508.0
89,64.0,101.0,67.0,183.0,586.0,279.0,380.0
56,174.0,335.0,156.0,380.0,1330.0,695.0,775.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,329.0,454.0,227.0,568.0,1943.0,857.0,738.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,336.0,578.0,345.0,651.0,1840.0,978.0,1029.0
